soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage,days_since_transplant,irrigation_needed,growth_stage_encoded
60.26,27.02,5.86,2.86,15.82,42.13,1287.1,1.03,seedling,8,0,0
80.05,19.18,6.87,0.84,16.4,70.29,948.8,1.67,fruiting,13,0,3
93.02,31.15,5.12,2.1,26.71,82.41,601.0,0.62,seedling,9,0,0
74.75,15.4,7.75,2.27,21.47,45.35,519.4,2.35,flowering,61,0,2
77.96,27.3,6.84,2.18,21.69,60.29,1209.4,0.23,seedling,69,0,0
36.12,21.47,7.94,1.2,15.46,83.51,1268.3,1.0,flowering,23,1,2
33.12,36.78,7.66,1.54,15.41,93.21,901.2,1.44,fruiting,16,1,3
34.59,29.42,5.08,2.84,40.39,72.8,765.8,1.68,flowering,51,1,2
83.34,29.02,7.46,3.11,20.58,55.62,557.5,1.07,seedling,35,0,0
51.88,29.74,6.16,3.23,24.2,54.86,895.2,1.79,vegetative,29,1,1
32.55,24.03,7.9,2.69,26.43,72.41,991.1,1.88,seedling,24,1,0
86.36,27.48,5.72,3.22,34.98,53.58,753.3,1.43,flowering,13,0,2
88.21,23.34,5.03,4.12,17.46,58.2,1440.1,2.39,flowering,16,0,2
59.15,21.04,5.99,3.19,35.31,85.12,1247.5,0.41,flowering,39,1,2
94.74,15.34,7.21,2.68,34.06,95.21,1125.6,2.13,fruiting,7,0,3
57.7,19.34,6.19,4.07,18.96,69.26,579.9,1.54,fruiting,17,1,3
91.57,37.66,7.26,2.01,17.25,84.3,970.1,1.18,fruiting,39,0,3
58.24,20.09,6.22,2.79,35.01,83.73,1287.3,1.91,fruiting,62,1,3
56.01,25.47,5.25,2.61,26.78,85.72,1473.5,1.48,vegetative,36,1,1
66.0,37.26,6.57,3.02,33.79,65.91,1053.1,1.54,fruiting,57,1,3
89.49,37.01,5.17,2.08,17.88,59.13,503.6,1.69,vegetative,60,0,1
67.94,15.87,7.92,4.44,33.85,70.56,671.4,2.07,fruiting,29,0,3
38.66,15.83,7.82,2.17,30.69,92.39,399.3,2.22,flowering,5,1,2
31.71,23.04,7.43,4.45,19.06,73.87,757.1,2.43,fruiting,33,1,3
60.47,23.96,5.82,0.73,38.35,86.34,1499.7,2.49,flowering,53,1,2
91.41,34.39,5.74,2.3,18.49,94.38,1027.4,0.73,fruiting,32,0,3
33.05,20.45,5.07,2.49,27.86,87.39,669.3,2.08,fruiting,57,1,3
68.35,25.52,6.26,3.64,32.26,85.89,1383.8,1.62,fruiting,50,0,3
68.34,23.41,6.31,4.12,24.4,69.3,1240.4,1.11,flowering,51,0,2
75.35,33.12,6.38,3.87,35.76,43.78,355.0,1.63,vegetative,43,0,1
45.61,15.82,5.39,1.01,19.1,47.91,1069.0,0.62,vegetative,67,1,1
86.83,26.37,7.92,2.91,21.04,86.84,714.1,1.0,seedling,1,0,0
64.74,22.54,7.68,1.01,23.91,58.33,410.7,1.31,fruiting,56,1,3
86.78,36.1,5.18,1.61,36.77,82.65,521.4,0.68,vegetative,14,0,1
70.19,22.85,6.39,3.49,15.99,54.39,1156.0,2.26,flowering,18,0,2
59.08,26.78,5.73,1.58,25.19,41.14,686.5,0.69,vegetative,44,1,1
45.16,22.23,6.42,1.92,32.52,67.34,1001.0,1.89,flowering,40,1,2
58.06,17.06,5.85,1.95,32.44,72.53,727.3,2.47,flowering,33,1,2
30.49,19.41,6.1,2.45,37.97,45.01,1267.0,0.33,fruiting,3,1,3
64.09,23.85,7.95,0.95,25.74,95.26,1338.6,2.08,vegetative,51,0,1
83.36,31.24,6.61,2.41,37.64,51.69,1461.6,1.84,vegetative,20,0,1
45.76,16.76,6.83,1.65,30.69,48.8,877.4,1.42,seedling,50,1,0
59.53,27.17,6.65,1.31,33.48,45.01,466.6,0.21,seedling,15,1,0
60.65,23.88,6.05,4.22,37.43,95.01,449.2,1.88,fruiting,35,0,3
90.22,31.32,5.14,3.63,37.35,82.78,1259.4,2.1,vegetative,26,0,1
89.01,21.59,6.76,3.23,27.2,80.69,1379.6,1.64,flowering,63,0,2
62.68,19.57,7.7,2.04,29.68,91.67,1049.1,0.47,fruiting,7,1,3
77.49,30.65,5.5,4.01,28.38,82.26,987.8,2.49,fruiting,27,0,3
78.36,14.8,6.71,3.55,38.67,59.5,1285.5,0.45,fruiting,52,0,3
55.82,33.14,5.45,1.42,34.5,81.04,1069.4,1.8,flowering,43,1,2
68.94,33.84,7.88,1.87,21.14,64.15,645.5,1.61,fruiting,62,0,3
36.55,20.14,7.18,2.87,17.76,92.37,1248.1,0.25,fruiting,31,1,3
69.44,24.18,7.21,4.24,39.99,65.7,435.9,2.47,fruiting,54,0,3
84.44,21.97,5.93,1.41,31.41,61.62,1193.1,0.67,fruiting,26,0,3
51.68,23.56,6.61,4.18,24.35,59.78,1185.0,1.24,vegetative,51,1,1
46.13,27.86,5.5,0.64,23.41,84.49,633.1,0.71,vegetative,49,1,1
41.57,37.07,5.45,2.16,17.3,96.82,902.6,1.57,seedling,51,1,0
43.64,35.55,5.62,1.26,15.99,66.91,977.8,0.35,fruiting,47,1,3
64.3,26.83,6.44,2.49,35.66,45.87,701.2,0.37,fruiting,10,1,3
47.6,29.46,6.23,0.6,19.22,80.81,1090.7,0.26,vegetative,59,1,1
62.86,28.28,6.02,2.78,38.96,71.73,1165.0,2.05,fruiting,32,1,3
85.62,33.93,6.19,3.17,20.53,56.71,1375.6,0.23,seedling,23,0,0
85.13,16.95,7.63,3.07,34.01,91.91,1049.7,0.97,fruiting,67,0,3
68.37,20.43,6.87,2.14,29.91,64.86,653.4,2.38,fruiting,24,0,3
37.43,27.58,7.96,2.38,19.92,67.63,914.9,1.91,fruiting,25,1,3
46.76,17.34,7.5,4.44,29.19,49.79,626.8,0.24,fruiting,42,1,3
67.47,20.58,6.66,3.11,37.4,51.77,313.2,0.51,fruiting,6,1,3
77.59,20.02,6.9,2.48,30.48,87.77,785.3,1.97,vegetative,2,0,1
40.81,31.71,5.25,2.91,21.62,62.19,646.4,1.02,fruiting,39,1,3
69.68,36.78,6.19,4.32,18.65,67.57,623.9,1.44,vegetative,62,0,1
92.09,17.71,6.87,2.4,24.3,60.04,795.4,1.82,flowering,25,0,2
46.02,33.66,7.4,3.28,22.35,73.64,733.2,0.41,fruiting,61,1,3
81.35,30.57,6.56,0.85,40.87,83.23,1066.7,1.95,fruiting,25,0,3
88.72,29.52,7.08,0.71,33.09,42.52,1005.9,2.5,flowering,7,0,2
32.21,30.74,5.89,4.2,41.22,93.82,869.1,2.18,fruiting,18,1,3
63.96,29.47,6.95,1.96,30.14,67.42,1362.0,1.42,vegetative,39,1,1
50.49,26.95,7.37,1.78,31.9,90.5,1039.0,0.74,seedling,42,1,0
94.37,14.01,5.56,2.04,40.18,43.99,311.4,0.32,seedling,62,0,0
61.19,29.06,7.62,4.44,35.74,63.81,805.6,1.9,vegetative,3,0,1
60.38,21.13,7.56,3.36,30.91,55.8,1392.4,0.3,seedling,68,1,0
44.19,36.8,7.36,0.86,26.27,90.11,1433.7,1.28,flowering,25,1,2
78.32,15.56,6.2,3.85,21.23,87.35,444.4,0.31,vegetative,41,0,1
42.12,32.71,6.05,0.73,41.17,90.38,1413.3,2.49,vegetative,35,1,1
79.29,30.7,5.46,3.76,21.06,52.76,944.4,1.56,flowering,11,0,2
87.03,20.37,5.39,4.05,40.8,89.14,1271.4,1.71,flowering,59,0,2
48.29,20.06,5.02,3.28,16.32,70.36,1454.5,0.45,fruiting,40,1,3
87.39,26.39,7.72,2.79,32.88,71.0,1337.4,1.89,flowering,40,0,2
45.94,17.78,5.48,1.84,21.44,93.02,427.0,1.81,vegetative,5,1,1
87.26,34.92,5.09,3.8,18.48,59.1,1192.2,0.57,fruiting,12,0,3
30.42,20.89,6.85,4.42,32.06,54.81,1060.8,1.44,fruiting,30,1,3
31.2,24.37,7.52,2.07,19.85,82.96,1246.6,0.6,fruiting,68,1,3
49.56,31.0,5.2,2.83,24.34,75.39,354.9,2.2,fruiting,29,1,3
58.99,29.54,6.78,2.03,16.77,86.83,746.2,2.08,vegetative,26,1,1
40.33,25.24,7.83,0.91,38.06,70.04,1291.1,0.89,fruiting,47,1,3
74.23,29.71,5.82,4.3,19.08,64.64,1432.3,1.17,flowering,6,0,2
79.41,24.62,5.94,1.78,34.56,82.51,540.4,2.2,fruiting,18,0,3
86.18,25.36,7.9,1.24,38.45,84.27,1225.1,2.14,fruiting,3,0,3
81.79,21.06,7.74,4.37,20.01,66.34,301.5,1.58,flowering,9,0,2
43.03,25.8,5.19,2.83,22.26,85.46,672.4,1.25,seedling,18,1,0
74.23,23.49,7.92,3.39,32.74,83.15,1443.2,2.29,fruiting,51,0,3
36.82,19.81,7.96,1.07,28.47,75.23,1143.0,1.49,seedling,2,1,0
64.73,35.18,5.25,3.8,24.66,58.36,1473.0,0.66,fruiting,15,0,3
43.01,18.02,5.31,3.05,34.07,41.8,1423.5,0.32,flowering,8,1,2
91.58,29.01,7.35,2.95,28.08,77.67,963.6,1.57,fruiting,3,0,3
32.65,17.94,6.32,3.4,31.02,77.07,875.1,1.62,vegetative,45,1,1
41.84,32.95,6.98,2.49,29.99,80.99,574.1,2.49,fruiting,3,1,3
35.3,23.68,5.66,2.17,20.5,87.91,509.0,2.41,vegetative,24,1,1
57.66,22.3,6.11,4.45,16.08,89.42,994.4,1.21,fruiting,66,1,3
68.85,33.03,6.97,4.47,22.66,60.47,760.6,1.27,fruiting,26,0,3
76.53,35.82,5.54,1.45,41.23,50.32,1325.3,1.33,vegetative,60,0,1
56.33,28.23,6.74,3.15,17.57,77.17,674.6,1.12,fruiting,5,1,3
51.14,32.56,5.39,4.38,27.25,53.45,388.2,0.59,flowering,10,1,2
73.51,17.5,6.35,2.85,40.61,54.39,731.1,1.07,flowering,47,0,2
73.15,25.39,7.53,3.72,30.8,89.49,547.0,0.46,vegetative,2,0,1
37.99,19.55,5.16,3.06,21.07,50.26,406.3,0.44,flowering,12,1,2
39.64,37.68,7.9,0.52,40.7,76.43,1341.5,1.25,flowering,50,1,2
52.27,26.77,5.38,1.03,18.88,93.57,1179.5,0.57,vegetative,8,1,1
40.15,19.63,7.89,1.52,32.86,95.78,749.2,0.24,vegetative,26,1,1
86.48,27.69,5.09,4.22,33.62,78.56,558.8,1.72,vegetative,69,0,1
67.52,22.37,5.48,2.92,23.59,89.39,1492.0,1.93,seedling,31,0,0
78.0,35.08,6.21,1.81,33.03,86.05,1214.7,2.03,vegetative,1,0,1
37.81,27.07,5.02,1.8,24.89,62.58,1134.6,1.09,vegetative,49,1,1
65.47,24.67,5.04,2.85,19.55,76.63,1211.2,1.35,flowering,48,0,2
85.07,35.94,7.44,0.94,19.02,70.02,595.3,1.3,vegetative,46,0,1
76.68,36.93,5.05,1.28,15.2,76.91,1377.6,0.76,fruiting,15,0,3
42.82,25.5,5.58,1.17,31.67,69.82,1104.1,2.34,flowering,8,1,2
50.24,28.65,7.15,1.59,26.17,46.95,517.4,1.77,vegetative,13,1,1
42.0,21.09,7.38,1.24,39.78,64.2,404.4,2.08,vegetative,45,1,1
71.15,36.83,6.8,3.78,38.87,53.0,554.5,1.61,vegetative,42,0,1
88.5,22.48,5.71,3.62,22.42,86.89,808.5,1.74,seedling,36,0,0
39.73,24.17,5.46,1.44,38.47,66.95,942.4,0.61,vegetative,35,1,1
69.46,27.12,5.7,2.06,31.05,68.32,1485.3,0.51,fruiting,67,1,3
58.78,24.7,7.17,0.56,24.21,86.67,1023.9,0.98,fruiting,36,1,3
35.57,35.46,5.58,1.79,21.12,60.23,383.3,1.39,seedling,5,1,0
34.55,29.36,5.81,2.87,33.36,53.16,848.2,0.64,seedling,44,1,0
73.02,27.39,7.19,2.36,16.62,72.05,1449.2,0.6,fruiting,55,0,3
64.83,16.32,6.35,3.52,24.38,77.9,1254.5,2.33,vegetative,5,0,1
77.92,32.45,5.73,3.19,17.51,54.65,1245.5,2.19,flowering,38,0,2
40.35,15.51,5.35,1.41,24.23,61.71,715.6,0.75,flowering,67,1,2
55.8,24.73,6.8,2.56,39.82,68.33,1490.6,2.16,vegetative,49,1,1
37.56,33.62,6.14,4.01,38.44,85.94,1248.0,0.9,seedling,21,1,0
31.49,17.69,5.67,4.33,30.47,93.17,990.2,1.3,vegetative,14,1,1
39.05,35.56,7.49,1.77,40.73,87.04,1099.6,0.48,flowering,68,1,2
38.79,37.11,6.65,4.36,26.68,57.77,907.4,1.21,seedling,6,1,0
30.02,14.42,6.81,1.96,25.43,72.17,530.1,0.69,flowering,50,1,2
33.76,30.68,7.95,1.46,18.84,46.92,663.9,0.43,fruiting,4,1,3
71.16,19.49,5.7,1.38,19.69,77.38,1317.6,1.87,fruiting,63,0,3
59.24,18.67,6.1,2.16,37.34,81.82,1223.2,0.23,vegetative,21,1,1
31.25,20.24,7.28,1.05,29.45,52.27,314.5,0.75,fruiting,45,1,3
32.77,22.91,5.8,3.08,28.48,55.16,479.1,0.49,fruiting,52,1,3
85.87,23.42,7.87,1.03,17.76,77.55,1431.4,2.06,seedling,10,0,0
90.47,20.07,7.34,3.8,28.38,62.02,840.1,0.72,fruiting,45,0,3
39.76,31.7,6.54,3.22,16.13,44.83,1159.6,0.37,seedling,24,1,0
32.31,26.21,6.16,2.35,41.77,95.33,1430.8,2.0,vegetative,58,1,1
36.4,29.85,7.29,1.56,15.57,44.68,1461.4,0.88,fruiting,25,1,3
93.44,30.02,5.03,1.52,22.04,43.95,1451.8,1.3,fruiting,10,0,3
81.92,21.03,7.94,2.91,30.73,82.64,1274.1,1.71,seedling,15,0,0
37.2,28.36,5.29,2.0,29.85,62.15,496.4,0.83,fruiting,44,1,3
42.84,35.29,6.94,1.64,37.03,89.1,1315.8,2.31,vegetative,13,1,1
44.37,37.48,7.24,2.73,19.88,43.07,684.1,1.93,vegetative,29,1,1
77.32,16.59,7.06,0.87,41.06,67.84,480.8,0.99,vegetative,37,0,1
68.37,26.2,5.89,2.76,33.6,89.78,1063.5,1.95,vegetative,58,1,1
30.61,19.92,7.18,4.47,17.68,62.89,1260.1,0.67,flowering,46,1,2
70.04,18.51,6.07,3.64,29.96,40.3,1213.2,0.28,fruiting,14,0,3
78.72,32.21,7.04,3.53,37.73,66.81,902.5,0.49,vegetative,4,0,1
76.93,35.27,6.78,2.07,26.14,79.65,303.9,1.63,vegetative,57,0,1
55.2,23.66,7.62,2.54,34.53,45.94,570.5,1.82,seedling,24,1,0
73.97,33.32,5.81,3.8,28.45,44.39,370.3,0.97,fruiting,31,0,3
83.63,26.49,6.12,0.99,34.86,53.44,745.7,0.34,fruiting,47,0,3
94.89,36.39,6.93,2.18,32.18,84.78,442.0,1.14,fruiting,9,0,3
91.77,18.87,6.7,4.42,19.46,79.91,1003.0,1.55,fruiting,51,0,3
91.14,20.22,6.29,3.99,37.73,50.61,1263.2,1.25,flowering,4,0,2
33.24,35.69,7.73,3.62,15.19,43.26,570.3,0.5,vegetative,24,1,1
60.68,14.32,5.85,0.68,15.98,55.72,630.7,2.01,fruiting,16,1,3
79.36,24.79,7.33,0.76,28.16,41.92,375.2,2.28,seedling,68,0,0
50.49,32.52,5.26,1.45,34.78,71.25,453.6,2.23,vegetative,26,1,1
57.22,20.24,7.19,4.43,21.93,77.29,537.7,1.5,flowering,12,1,2
52.72,16.74,5.45,1.4,21.78,88.49,973.5,1.4,seedling,28,1,0
76.98,15.62,7.12,2.67,17.21,66.12,881.6,0.58,fruiting,57,0,3
73.49,25.1,6.24,3.1,29.73,43.55,915.0,2.05,flowering,64,0,2
81.61,25.93,6.02,3.99,29.71,83.23,1204.9,0.24,seedling,14,0,0
45.52,24.83,7.95,3.59,15.73,43.72,856.7,2.29,flowering,6,1,2
54.18,24.84,6.19,0.87,26.91,51.15,524.1,0.42,vegetative,41,1,1
67.54,29.23,7.39,2.08,39.71,70.38,489.5,1.8,fruiting,7,1,3
69.88,22.71,7.69,1.18,28.69,74.09,340.1,1.04,fruiting,48,0,3
39.89,24.57,6.85,0.83,38.83,85.81,906.2,2.42,vegetative,21,1,1
77.14,21.75,7.99,4.42,32.72,47.4,1124.2,0.41,seedling,20,0,0
87.87,15.91,7.19,1.25,38.17,86.69,949.0,1.83,vegetative,11,0,1
88.58,29.64,5.94,1.52,37.12,90.15,930.5,0.76,seedling,62,0,0
76.74,24.08,7.72,3.46,20.16,74.99,822.6,1.53,fruiting,11,0,3
84.84,20.1,5.09,3.46,17.87,57.95,304.6,1.77,vegetative,20,0,1
44.77,34.09,5.84,3.07,33.74,69.22,666.4,0.69,seedling,53,1,0
72.46,36.52,7.61,3.56,36.29,77.9,612.3,2.29,fruiting,23,0,3
40.99,23.35,6.14,1.41,25.3,47.34,795.3,2.05,flowering,25,1,2
57.39,14.65,7.9,1.01,34.11,95.45,1291.2,1.81,fruiting,45,1,3
92.58,31.44,5.91,3.82,22.6,89.75,435.1,1.82,flowering,40,0,2
47.12,15.11,6.7,1.64,37.26,44.23,571.6,1.88,flowering,68,1,2
87.02,35.05,5.99,1.86,41.7,75.69,937.6,2.13,vegetative,12,0,1
67.88,37.89,7.57,2.59,16.72,87.39,1018.8,0.46,seedling,61,0,0
32.12,34.85,5.19,4.32,15.68,79.58,398.6,2.29,flowering,15,1,2
69.13,35.42,6.33,2.93,32.05,73.73,1143.2,0.75,flowering,28,1,2
45.22,32.88,7.91,1.55,22.33,66.96,1480.6,0.82,vegetative,25,1,1
30.19,14.95,6.81,4.13,21.45,66.77,840.6,1.29,flowering,14,1,2
69.7,20.74,5.62,2.57,15.15,40.44,562.9,0.28,seedling,39,0,0
82.17,27.73,6.54,1.67,40.16,62.63,404.5,1.62,seedling,51,0,0
87.19,27.79,5.09,3.2,16.21,65.68,1415.3,0.58,vegetative,19,0,1
56.72,35.78,7.14,2.93,23.35,86.96,1446.1,2.09,seedling,46,1,0
33.32,20.18,5.18,2.92,33.54,46.53,760.6,1.25,vegetative,19,1,1
68.76,27.19,7.7,2.12,23.67,82.74,795.2,1.69,flowering,51,0,2
68.59,14.24,6.91,4.15,31.54,89.8,1168.8,0.48,fruiting,38,0,3
83.89,37.79,7.46,3.28,29.38,65.58,401.3,1.12,fruiting,62,0,3
66.31,22.24,7.19,3.11,37.83,79.47,815.9,1.75,vegetative,53,1,1
86.01,28.17,5.68,2.04,27.15,73.02,1211.2,0.43,fruiting,32,0,3
54.13,28.43,7.12,3.25,25.11,49.51,816.6,0.53,fruiting,65,1,3
91.53,22.15,6.55,2.02,15.18,61.99,1250.1,1.57,seedling,64,0,0
69.38,22.75,5.65,4.45,27.26,79.23,468.7,1.32,seedling,59,0,0
64.57,17.26,5.3,1.34,39.99,63.61,774.5,0.92,seedling,30,1,0
38.45,34.05,6.11,2.0,27.8,65.32,1493.8,1.45,seedling,59,1,0
92.47,23.35,6.16,1.86,29.62,48.79,964.5,1.45,fruiting,51,0,3
53.15,33.84,7.13,1.21,28.7,78.61,582.0,2.11,flowering,1,1,2
67.73,17.34,6.33,3.0,28.2,62.9,1492.6,2.22,flowering,24,0,2
70.34,18.83,6.19,0.66,27.84,70.95,573.3,2.42,fruiting,11,0,3
52.97,25.0,5.11,3.48,29.83,43.29,1116.9,1.27,seedling,17,1,0
91.69,26.31,5.28,3.52,28.28,57.24,889.7,1.4,flowering,23,0,2
55.13,26.27,6.48,2.81,38.37,95.9,789.1,2.1,fruiting,4,1,3
82.43,25.44,7.99,0.74,15.09,76.49,658.1,0.75,vegetative,67,0,1
59.14,26.25,6.88,4.21,15.52,67.18,1125.3,1.86,fruiting,42,1,3
71.12,29.47,7.46,1.83,34.79,70.13,1252.1,2.48,vegetative,26,0,1
83.85,21.07,5.04,3.45,37.52,82.21,471.4,1.93,fruiting,1,0,3
84.98,28.73,5.27,2.45,17.1,63.23,788.5,0.35,vegetative,3,0,1
71.09,27.85,7.09,0.52,17.73,89.53,1118.1,0.46,fruiting,16,0,3
61.09,17.48,7.13,3.17,20.7,89.21,781.6,0.87,vegetative,55,0,1
88.9,21.72,6.43,1.4,32.29,95.8,1024.2,1.02,flowering,31,0,2
87.76,26.07,6.35,2.84,31.87,44.09,1119.1,0.76,fruiting,53,0,3
82.26,27.26,6.56,1.07,35.93,55.47,896.0,0.85,seedling,49,0,0
50.64,14.0,6.53,0.69,22.46,80.3,375.2,2.13,seedling,69,1,0
91.13,15.99,7.79,3.81,18.51,72.2,1339.9,1.52,fruiting,51,0,3
58.2,35.84,6.13,4.36,17.41,79.16,892.6,1.09,flowering,55,1,2
30.28,18.01,7.14,3.17,41.08,83.38,1440.9,1.82,vegetative,21,1,1
60.9,29.22,8.0,0.92,28.46,61.95,1339.0,1.29,seedling,13,0,0
57.07,33.73,7.55,1.35,32.75,66.92,1356.2,0.7,fruiting,45,1,3
32.34,23.47,7.79,1.0,34.9,95.55,362.6,1.77,flowering,65,1,2
87.86,20.9,6.1,0.73,18.01,69.4,621.1,2.12,seedling,37,0,0
89.22,34.12,7.13,4.3,15.85,81.96,696.3,2.28,vegetative,29,0,1
60.17,37.12,6.56,3.21,23.42,84.12,1227.5,1.4,fruiting,27,1,3
67.4,15.83,6.15,1.97,19.91,64.82,698.5,0.99,fruiting,7,0,3
52.63,22.92,5.0,1.7,32.45,95.53,1316.5,0.25,fruiting,45,1,3
55.87,21.27,5.2,1.41,21.66,67.59,1196.9,1.29,seedling,9,1,0
45.55,26.74,6.95,3.08,30.15,84.28,546.0,1.87,flowering,57,1,2
70.46,32.75,6.73,1.09,36.9,76.25,765.8,1.75,vegetative,49,0,1
91.58,22.1,7.17,2.66,16.64,79.33,1128.1,2.34,flowering,54,0,2
57.02,21.25,7.28,1.92,40.62,94.85,1045.1,2.34,fruiting,46,1,3
58.13,15.05,5.5,2.28,20.65,42.85,1312.4,2.46,fruiting,11,1,3
55.47,29.82,5.33,3.05,28.45,63.18,1443.6,1.4,vegetative,18,1,1
68.58,15.75,6.87,4.42,20.13,85.18,1389.5,2.37,fruiting,66,0,3
92.86,23.43,7.56,3.59,23.37,53.23,849.9,2.0,fruiting,44,0,3
30.79,14.22,6.07,4.2,21.17,76.16,566.5,0.94,fruiting,48,1,3
36.2,24.29,5.09,2.42,32.89,46.75,646.7,1.12,fruiting,1,1,3
32.92,32.26,6.12,2.07,35.37,92.35,1441.1,1.53,vegetative,18,1,1
94.51,23.27,6.72,2.16,37.88,91.43,1352.8,2.44,seedling,59,0,0
44.36,14.93,5.11,1.2,38.4,56.1,1440.6,1.54,vegetative,51,1,1
57.79,21.83,7.52,1.08,26.61,91.51,1315.0,1.12,fruiting,23,1,3
60.96,25.94,5.61,2.86,20.03,58.9,1326.0,0.68,seedling,68,0,0
49.19,35.11,6.38,0.88,37.32,42.72,1172.1,1.98,vegetative,4,1,1
39.85,35.02,6.62,1.63,26.48,42.14,453.4,1.96,seedling,60,1,0
63.96,15.31,7.92,1.4,23.21,57.32,576.5,0.2,fruiting,38,1,3
77.56,29.38,6.25,3.54,31.46,91.07,1281.6,0.78,vegetative,57,0,1
54.11,35.65,7.42,4.44,35.36,62.41,1008.8,1.72,seedling,31,1,0
79.0,14.5,5.81,2.57,22.26,75.82,878.2,1.03,fruiting,25,0,3
38.45,27.44,7.34,3.33,19.65,95.43,838.6,0.57,vegetative,39,1,1
60.01,36.1,7.08,3.42,38.27,55.62,1268.5,0.65,vegetative,6,1,1
73.23,17.78,5.36,3.56,33.12,64.81,959.2,0.92,flowering,32,0,2
55.17,35.76,5.05,3.63,18.36,85.46,1039.1,2.14,seedling,59,1,0
62.57,30.95,6.6,2.66,26.6,57.6,878.7,0.47,fruiting,62,1,3
65.93,23.52,5.4,3.96,19.25,57.66,648.1,2.2,fruiting,7,0,3
50.34,36.45,7.55,4.43,31.96,54.11,495.4,0.63,seedling,53,1,0
49.94,22.47,6.86,1.84,34.78,63.06,382.0,2.0,vegetative,19,1,1
74.04,15.73,5.62,2.03,41.52,84.74,1180.2,0.47,fruiting,54,0,3
69.07,37.77,5.98,4.27,39.7,40.65,840.1,2.45,seedling,58,0,0
37.36,23.69,7.21,3.32,26.41,59.75,777.1,0.81,vegetative,35,1,1
47.45,20.9,6.97,4.37,31.3,44.39,390.7,2.39,vegetative,54,1,1
75.23,24.99,5.28,2.71,32.32,80.12,747.9,1.5,flowering,48,0,2
67.93,26.62,5.75,0.51,19.7,46.67,838.9,1.61,vegetative,51,0,1
87.39,18.86,6.76,3.3,33.36,63.26,318.5,1.54,vegetative,36,0,1
91.08,19.29,7.18,2.97,34.96,52.24,1098.0,1.35,fruiting,50,0,3
36.02,31.96,7.74,2.24,21.99,64.76,1168.1,0.22,flowering,17,1,2
65.55,30.1,7.1,1.32,32.66,86.65,360.0,2.3,seedling,69,1,0
35.01,35.87,6.06,2.2,20.81,74.03,1013.8,1.06,vegetative,38,1,1
54.91,25.84,5.85,3.65,25.73,69.28,604.0,2.47,vegetative,6,1,1
81.98,22.01,7.6,4.16,38.22,42.0,1244.8,1.15,fruiting,60,0,3
84.19,25.99,6.61,1.08,36.17,63.91,900.1,2.01,flowering,4,0,2
68.37,23.78,6.41,0.61,20.67,56.02,1155.6,0.23,vegetative,38,0,1
