hour,soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage_encoded,days_since_transplant,scenario,rf_pred,rf_confidence,xgb_pred,xgb_confidence,lstm_pred,ensemble_pred,ensemble_confidence,anomaly_detected,anomaly_injected
24,67.76739734157916,25.909731690074892,6.483968172766505,1.7959557604020713,25.0,67.01451122247346,847.6767169715029,0.9031371521380169,3,31,Normal Operation,0,0.0465,0,0.0098,0,0,0.072,0,
25,67.47173177714654,24.446638150784533,6.485960195890001,1.7429504185655522,25.0,69.25314902609541,850.3924833877228,0.9335404368072828,3,31,Normal Operation,0,0.1043,0,0.0168,0,0,0.1061,0,
26,67.1913050670489,24.399466344367355,6.441614666750472,1.7652266057454917,25.0,67.72413003759506,829.7880643931276,1.0131258288421785,3,31,Normal Operation,0,0.0777,0,0.0137,0,0,0.1051,0,
27,67.08727825708102,25.011524380949062,6.379922270340613,1.755894033557786,25.061080884819145,67.3572977232542,835.9612437917585,0.9930929263290336,3,31,Normal Operation,0,0.0835,0,0.0157,0,0,0.1137,0,
28,66.94473757938421,26.801577853135193,6.3139427947507905,1.766208768518914,25.70368632120236,70.30571165888395,832.5155566445615,1.004313189493858,3,31,Normal Operation,0,0.0917,0,0.017,0,0,0.1326,0,
29,66.81684716045417,26.908238867821392,6.385653148697381,1.9331863910930993,25.054617656153788,70.42984714820443,825.4091346686732,1.0701057564070453,3,31,Normal Operation,0,0.0958,0,0.0092,0,0,0.1177,0,
30,66.67570174190625,27.17020099091083,6.411088642785386,1.8719456836817203,27.16370239368665,67.9751711819855,814.369618955249,1.0145116739443378,3,31,Normal Operation,0,0.1164,0,0.0251,0,0,0.1738,0,
31,66.86095598209268,28.988123962461138,6.390733926628728,1.9116227739829101,29.134409998457222,66.98048363894672,799.9486135919177,1.101507954572898,3,31,Normal Operation,0,0.147,0,0.0112,1,0,0.1966,0,
32,66.5309909882552,28.917199503273064,6.3716107709599905,1.8063593931798627,29.835248820069037,66.11139353950105,792.2904236464249,1.1438615108722825,3,31,Normal Operation,0,0.2499,0,0.3938,1,0,0.4174,0,
33,66.15295937772478,30.914519863441193,6.359474786359258,1.8365488502109768,33.197883089512025,62.13438826538036,764.8588954587857,1.2474560682951115,3,31,Normal Operation,1,0.774,1,0.9972,1,1,0.8856,0,
34,65.71210728108473,30.840365981396506,6.3293403810448305,1.8839612555589227,33.512193873810844,62.65556164987486,751.2460788682995,1.2755643040874245,3,31,Normal Operation,1,0.8098,1,0.9972,1,1,0.9065,0,
35,65.55695204008282,31.075915899076353,6.3172600710682545,1.8805588164727867,33.54389068962604,66.95401526097362,750.7927286978613,1.311794795675242,3,31,Normal Operation,1,0.8244,1,0.9977,1,1,0.9138,0,
36,65.50486963955628,32.115116116583685,6.3226473752506145,1.8562578652551835,33.48460738384024,67.82899562101179,764.7768076678932,1.295469373523438,3,31,Normal Operation,1,0.8232,1,0.9979,1,1,0.9146,0,
37,65.19382006844761,31.997949330616343,6.3758916431066,1.876773985206396,34.78250994721289,66.455445439927,771.976596971161,1.3977519183620712,3,31,Normal Operation,1,0.8323,1,0.9978,1,1,0.9247,0,
38,64.72972162719091,33.12815135274843,6.391724127366181,1.9295328276968986,35.75839323302317,65.06490798115856,797.4605213180026,1.4296262411435186,3,31,Normal Operation,1,0.915,1,0.9992,1,1,0.958,0,
39,64.26511048746545,33.27919249561047,6.3413856167282825,2.060526992538104,36.21436207340197,65.31529087495188,810.4588076154073,1.4346321830724897,3,31,Normal Operation,1,0.93,1,0.9992,1,1,0.9644,0,
40,64.10128915240593,33.18832097862308,6.3935105778814085,1.9176904718226402,35.492486578058,66.00948263247257,782.5642893401639,1.3175466940720075,3,31,Normal Operation,1,0.9304,1,0.9993,1,1,0.9662,0,
41,73.29809396686095,32.5715540164163,6.423221923946213,1.9136481770841702,34.069850502126556,64.29669152248,796.5800095331819,1.2573016523458178,3,31,Normal Operation,0,0.0217,0,0.0049,0,0,0.02,0,
42,72.78354028470376,31.98654506630793,6.422199356951207,1.9717774645183055,33.78933101058543,65.0891261126663,816.6010116484259,1.267966848908345,3,31,Normal Operation,0,0.0217,0,0.0048,0,0,0.0214,0,
43,72.62871132864827,30.832153823859205,6.417835294218248,1.9806427157468718,31.682476214567725,66.29811863114838,825.0900574361115,1.2739654374297635,3,31,Normal Operation,0,0.03,0,0.0022,0,0,0.0199,0,
44,72.25051426267358,29.867848819065202,6.428937641970467,2.036878561940063,29.386890564619513,71.07835979999244,807.0427245121247,1.2088570349222811,3,31,Normal Operation,0,0.02,0,0.0007,0,0,0.0142,0,
45,72.05215041942935,28.6883205247527,6.426209116413351,2.0620221047434195,29.34951348219517,69.49245238502458,815.8107526479123,1.051257930855869,3,31,Normal Operation,0,0.0158,0,0.0007,0,0,0.0133,0,
46,71.8409454706195,28.588401714207645,6.3944194438448445,2.0042373920596317,28.067763829750717,72.20872412744208,818.2623072783186,1.005405455871093,3,31,Normal Operation,0,0.0158,0,0.0007,0,0,0.0128,0,
47,71.65722513442306,27.925105211170386,6.456632372394486,1.9592267824823395,27.18225694278041,69.4081548264286,836.8643217643202,0.9753292862190899,3,31,Normal Operation,0,0.0158,0,0.0007,0,0,0.0128,0,
48,71.60855675833936,28.288555491949342,6.471790734738332,1.8423563148355988,26.61926645916737,70.1409739581069,861.3183276483323,0.8485954622283988,3,32,Normal Operation,0,0.0158,0,0.0008,0,0,0.0131,0,
49,71.44037859354684,25.63393236997907,6.466547697959069,1.788593739426503,25.36215931843173,69.32584137335887,872.1696433602062,0.8,3,32,Normal Operation,0,0.0108,0,0.0008,0,0,0.0104,0,
50,71.36616130616123,25.362720748639717,6.422734437245696,1.7493054245359119,25.0,67.92068202529944,856.4445643208651,0.8,3,32,Normal Operation,0,0.025,0,0.0008,0,0,0.0152,0,
51,71.16580195728534,25.354506073280152,6.380255168579878,1.870212439605388,25.484395346709082,69.5613217131461,866.4033144502273,0.8645892034630134,3,32,Normal Operation,0,0.0108,0,0.0007,0,0,0.0107,0,
52,71.0094341433616,25.020573367278274,6.415677864531514,1.9132648226081703,25.523961707716115,67.5415956114437,860.5548405054561,0.8664229002375192,3,32,Normal Operation,0,0.0108,0,0.0007,0,0,0.011,0,
53,70.91117856399988,24.750616499254164,6.421777123966597,1.8301705214961603,26.814153066178147,66.69519850243798,865.8179831408767,0.8,3,32,Normal Operation,0,0.0208,0,0.0008,0,0,0.0171,0,
54,70.38597468805963,25.78244258979297,6.433388395245706,1.8341610699807551,27.971588996139037,64.78966323075365,849.1624612350374,0.829949959146339,3,32,Normal Operation,0,0.0325,0,0.0007,0,0,0.0288,0,
55,70.08421761400538,26.30497775412474,6.390752621161987,1.8275986246396045,28.477853847847868,65.82854885825246,839.7825110954032,0.9700300749581892,3,32,Normal Operation,0,0.0225,0,0.0008,0,0,0.031,0,
56,69.73182208329067,27.54398029573105,6.394431671238438,1.7989194430660642,31.040124982018657,64.62690643859516,826.1161273471837,1.0233215955699844,3,32,Normal Operation,0,0.2589,0,0.2719,0,0,0.2532,0,
57,69.34156964415088,27.70707983897286,6.355546256709573,1.7516406325754643,31.55960868639124,60.00096356838525,811.1229457524256,1.0682769764587199,3,32,Normal Operation,0,0.3956,1,0.7235,0,1,0.5058,0,
58,69.00902175539778,29.91600222407493,6.352597041698708,1.7159630411068707,33.43992981347052,61.02611861039155,820.8556670531867,1.100227379009006,3,32,Normal Operation,1,0.5417,1,0.9769,1,1,0.7076,0,
59,69.0190039737408,30.971040635470764,6.362621107112163,1.862258857901488,34.875755487983085,59.17372524075697,818.9306294983729,1.1466891788331874,3,32,Normal Operation,1,0.5346,1,0.9727,1,1,0.7138,0,
60,68.54042711052227,33.179777048270545,6.417320782189431,1.7292311332994732,36.92633000998385,62.198796272214025,811.0926369212875,1.193106073142059,3,32,Normal Operation,1,0.6016,1,0.9764,1,1,0.7971,0,
61,68.4324466760222,34.274058952967565,6.388599666571282,1.6301635113299655,36.454513177296725,63.84589851192369,782.0400458985162,1.2668875222609233,3,32,Normal Operation,1,0.5897,1,0.9764,1,1,0.7945,0,
62,67.79536816450646,33.81612525157154,6.354266664262543,1.783888477132012,36.313069649073405,65.05497254506972,770.9847071009027,1.189906975833419,3,32,Normal Operation,1,0.5659,1,0.9748,1,1,0.7952,0,
63,67.42878522776681,33.44305366952598,6.384034522401474,1.8015857295120592,36.200741342810154,59.4002748722933,774.4640752850406,1.1146291495865146,3,32,Normal Operation,1,0.6567,1,0.9852,1,1,0.8405,0,
64,67.16418715984295,31.98358852932518,6.412282685009179,1.783714157699844,35.89358511810721,63.48569881030589,787.5168834746535,1.0290822045655617,3,32,Normal Operation,1,0.6757,1,0.9875,1,1,0.8533,0,
65,66.9857913725415,30.626402084622896,6.359493460069821,1.8321933945126565,35.705031696664,63.16951373943911,770.2436030517244,1.0619393291769847,3,32,Normal Operation,1,0.7106,1,0.9848,1,1,0.8637,0,
66,66.8412869277026,30.14207932133916,6.389040101872341,1.7810313502501793,34.593720099685235,60.994910440243736,794.3814486626885,1.036232071736562,3,32,Normal Operation,1,0.6619,1,0.987,1,1,0.8448,0,
67,66.7258128801764,28.985680264966856,6.428338754926951,1.7716435448251828,33.017936820771794,63.197320997897805,790.0251583288565,0.9365519254165804,3,32,Normal Operation,1,0.6839,1,0.9896,1,1,0.8454,0,
68,66.38874798789205,29.235752698123424,6.410458344004219,1.664116722222728,32.164984729334,66.50378357748284,788.6056581781041,0.9708754944685913,3,32,Normal Operation,1,0.7423,1,0.9979,1,1,0.8735,0,
69,66.03040144426917,29.953864005798486,6.413789356597229,1.5904546945373743,31.98452313624631,62.978775820021994,820.0133543913668,0.9751528274050298,3,32,Normal Operation,1,0.804,1,0.9978,1,1,0.9034,0,
70,65.96137931325386,27.716236570382513,6.437821830180038,1.7329614479010844,28.827163408343225,67.93459619940643,823.5512196742661,0.941254339401841,3,32,Normal Operation,0,0.39,0,0.0921,1,0,0.3632,0,
71,65.69413308301841,27.016218123382505,6.4510515757919595,1.8237659925753857,27.373170657389693,68.21494786881794,839.6748902735312,0.8704418525944572,3,32,Normal Operation,0,0.2967,0,0.0925,1,0,0.3182,0,
0,62.0,26.285891111467038,6.358702488702569,1.7424889169689417,25.003436040966726,68.72784449799053,844.266400339504,1.2104681662132322,3,30,Drought Stress,1,0.8832,1,0.9898,1,1,0.9441,0,
1,61.827568632333794,25.758825127686787,6.3770469887354,1.715718685662747,25.0,71.15487948849086,863.5625334070014,1.1545031666516699,3,30,Drought Stress,1,0.8782,1,0.9904,1,1,0.9437,0,
2,61.64089735373414,26.275390698639352,6.3806735654648925,1.7420973699917532,25.0,71.06001654505681,859.1215728268576,1.2248758519581036,3,30,Drought Stress,1,0.8658,1,0.9895,1,1,0.9395,0,
3,61.4328425823343,25.03041211592358,6.382384387862411,1.8394162865268573,25.0,72.99588901519613,826.7170220711381,1.1572390292036692,3,30,Drought Stress,1,0.8412,1,0.9889,1,1,0.9314,0,
4,61.083126507928924,26.520067035999485,6.397485465271973,1.8081384671223097,25.0,72.3901397436093,829.5247823954755,1.0928119157521174,3,30,Drought Stress,1,0.8587,1,0.9897,1,1,0.9388,0,
5,60.76888393432187,26.16350308341127,6.420138484867967,1.7332369649973418,25.0,69.98323234310203,831.4466804005273,1.1535709919320374,3,30,Drought Stress,1,0.9445,1,0.9921,1,1,0.9709,0,
6,60.399835398915094,26.504410733134563,6.421370723627825,1.6970963623926314,25.05024178659154,71.24004199216593,821.3617960091434,1.252425241680141,3,30,Drought Stress,1,0.9477,1,0.9934,1,1,0.9735,0,
7,60.14256066354875,27.913361818400688,6.421926891737657,1.8403896120500252,26.566427335382873,68.37186929367938,796.4379844762888,1.3237063421862,3,30,Drought Stress,1,0.9388,1,0.9964,1,1,0.9722,0,
8,59.82670669444108,28.915604344107056,6.378831747117258,1.8071147752705685,28.269156498876043,67.45308416638458,803.6673286996944,1.382444281702321,3,30,Drought Stress,1,0.9817,1,0.9996,1,1,0.9896,0,
9,59.46414765504434,29.53190460781541,6.403241253449909,1.7270466423185225,29.417223146257122,68.13091632086406,778.5638093120881,1.3634865127490334,3,30,Drought Stress,1,0.9912,1,0.9997,1,1,0.9939,0,
10,59.195082309016364,29.317675796364806,6.391665626816869,1.7252904247445022,31.095374553193757,67.18284553145972,788.6452319152305,1.2995336308270704,3,30,Drought Stress,1,0.99,1,0.9999,1,1,0.9942,0,
11,58.849404785260624,30.415575108508072,6.4264894410518,1.7636967347596855,32.87424075770845,65.36598225595664,798.7175119460713,1.3128770456295993,3,30,Drought Stress,1,0.9917,1,0.9999,1,1,0.9953,0,
12,58.61559737936729,30.826888184326553,6.463296556328636,1.7917625681184757,34.01419395408159,61.857936548334486,846.864441149444,1.3229847546380633,3,30,Drought Stress,1,0.9942,1,0.9999,1,1,0.9963,0,
13,58.112055456352046,31.863893011100608,6.393478299243085,1.9370498114982935,35.32550021389853,60.29691759604214,860.7535078494592,1.306611190033022,3,30,Drought Stress,1,1.0,1,0.9999,1,1,0.9986,0,
14,57.603316140451795,30.796921644372773,6.439086984078131,1.9151276173249572,36.77013892885289,57.49339342650737,867.7893771079976,1.2462488267914804,3,30,Drought Stress,1,0.995,1,0.9998,1,1,0.9972,0,
15,57.20869208729015,29.67653067170141,6.406793936122414,1.814110857313556,35.96583390590363,60.48809668654241,866.6508852973035,1.2379408761590192,3,30,Drought Stress,1,0.995,1,0.9999,1,1,0.9974,0,
16,56.553646215172314,30.58222467070131,6.370780286988604,1.9453848537332863,36.504719445533965,60.373790759675025,853.6280911867141,1.2635173675693592,3,30,Drought Stress,1,1.0,1,0.9998,1,1,0.9992,0,
17,56.03405656620272,30.306304718397776,6.370399787926371,1.968022534539302,34.765479634340736,62.65577743448612,843.0391302850921,1.1912136395599167,3,30,Drought Stress,1,0.9925,1,0.9999,1,1,0.9966,0,
18,55.43418244839357,29.901673666531526,6.387694354515462,1.990860161737133,33.71880885140903,64.49311900674385,830.7533178805124,1.191852096419161,3,30,Drought Stress,1,0.9875,1,0.9999,1,1,0.9949,0,
19,54.75607044955768,29.089457472886274,6.424137346140721,1.94823147578966,33.25062970091463,64.40949840872338,844.0597593999921,1.1383936883846557,3,30,Drought Stress,1,0.9925,1,0.9999,1,1,0.9968,0,
20,54.07509077315319,28.808371911493523,6.511445335583677,1.8976728652193229,32.78308909186316,62.971412934026816,863.667270246387,1.298744549142728,3,30,Drought Stress,1,0.9867,1,0.9999,1,1,0.9948,0,
21,53.353283006807274,28.25097489140574,6.435186291049676,2.0378127287945333,31.69917833654619,63.087460774524075,850.0206773457821,1.3510686529784945,3,30,Drought Stress,1,0.9867,1,0.9998,1,1,0.9949,0,
22,52.738055829483685,25.626976448004847,6.414270192904338,1.9429720529194854,30.702424181122858,63.28557964779522,843.563614812137,1.3364981556161513,3,30,Drought Stress,1,0.9867,1,0.9998,1,1,0.9949,0,
23,52.163550576290305,25.66548516578893,6.423144603448344,1.9362115815247674,30.26862997843651,62.13139781085413,852.1980336291207,1.4003947017483687,3,30,Drought Stress,1,0.9867,1,0.9998,1,1,0.995,0,
24,51.529508307926264,25.198021848916905,6.399755614870117,1.9013005571858248,29.149236436407907,63.26458121728467,870.7361933183371,1.3994103779879208,3,31,Drought Stress,1,0.9817,1,0.9996,1,1,0.9932,0,
25,51.128608473019966,25.263785263441154,6.342953500127612,2.0514668434437726,28.83957478635466,62.01814315641961,885.8295461735008,1.3533356787378064,3,31,Drought Stress,1,0.9867,1,0.9995,1,1,0.9949,0,
26,50.68367534388343,25.65976994040649,6.349683470361035,2.0949169976869815,27.93229333500944,63.191601142128796,908.2814572105447,1.3594052425028358,3,31,Drought Stress,1,0.9967,1,0.9995,1,1,0.9984,0,
27,50.21208028573659,24.654884768836883,6.361369788525094,2.0643397817865363,27.018816275366895,63.58041619111444,900.7176685539386,1.3558654768945904,3,31,Drought Stress,1,0.9917,1,0.9995,1,1,0.9967,0,
28,49.68366730987681,25.162163615871112,6.384016764132401,2.1404279230749084,26.348728876093613,64.2413632244886,896.0302026572974,1.605273702127658,3,31,Drought Stress,1,0.9967,1,0.9995,1,1,0.9985,0,
29,48.9377011758683,27.315064269145196,6.375052540703111,2.2839378289987273,28.727529068014878,66.07488361611409,900.5594476907524,1.4887488903016672,3,31,Drought Stress,1,0.995,1,0.9995,1,1,0.9979,0,
30,48.37952303417231,28.966396112810852,6.425938980747407,2.204274404216154,30.42177285570771,62.81904652190606,871.1279184860846,1.2848631607560252,3,31,Drought Stress,1,0.9957,1,0.9998,1,1,0.9983,0,
31,47.73424741727822,29.8490345252635,6.4266860389013525,2.1541044604700175,31.37058330706196,62.757044373216985,874.7884170259136,1.3693486333198894,3,31,Drought Stress,1,0.9917,1,0.9998,1,1,0.9969,0,
32,46.82936317261031,31.370607733412037,6.4462870213680725,2.2070333318898383,32.43221541919981,58.96999095221674,865.9653777180706,1.2967840657911545,3,31,Drought Stress,1,0.9875,1,0.9999,1,1,0.9955,0,
33,46.164802768269524,33.53257612272985,6.400659974988863,2.241323814483523,33.633590952697766,58.44348939784643,872.4525886910889,1.2400558969875677,3,31,Drought Stress,1,1.0,1,0.9999,1,1,0.9999,0,
34,45.32817543299946,33.310112993831076,6.316114295489592,2.180861008829294,34.38680762089659,58.75090453016614,861.3910760218562,1.3822643267378667,3,31,Drought Stress,1,1.0,1,0.9999,1,1,0.9999,0,
35,44.73421808500094,32.901878301031495,6.362900705709004,2.1734217085504763,35.33073532729782,57.61630861725162,854.9156903298194,1.342650918949423,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
36,44.023033718681084,33.71564336568988,6.384144709432935,2.213792389884297,36.38307452393448,55.86167955983856,838.9154380970266,1.2869759462400028,3,31,Drought Stress,1,1.0,1,0.9999,1,1,0.9999,0,
37,43.41553702691767,36.33672573276749,6.4112464524793245,2.3075000549552045,38.09746199357735,54.631633835940285,856.9935426188378,1.33644580899166,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
38,42.70839198830275,36.25059000456556,6.413521171254735,2.227257315115242,38.7344825473236,55.177286399831225,862.4065602858797,1.2911364100972809,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
39,41.81634576768414,35.000554598742085,6.400160457170575,2.3148957946810387,37.707341466010995,59.17656749404271,866.2136087964423,1.392414150486864,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
40,41.30144383116299,34.682946058648106,6.392320200498039,2.374757873588306,38.40033857655037,54.78195707667067,844.4347682341689,1.3693187738720685,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
41,40.45428028463111,33.72943849272296,6.428249642041426,2.5272517800647734,38.34997238485699,54.52622928073296,841.2924044974634,1.4132091847549104,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
42,39.62861994428127,32.433295738471486,6.396765629120234,2.3518776410514213,37.44398713902414,56.594848187835915,859.4917122270863,1.5420372829211628,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
43,38.91974243763579,34.30135720387331,6.388646044174387,2.3613242850871736,36.300801109877554,57.645346894781994,879.0799309747518,1.6751499797327423,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
44,38.330651115794055,32.82482117827921,6.3909401138419195,2.369908354264662,35.378752839409344,59.68108649303317,882.2142587305702,1.493824651671333,3,31,Drought Stress,1,1.0,1,0.9998,1,1,0.9999,0,
45,37.50583168963698,31.003144116985467,6.4046007429204845,2.5091401975432115,34.18008710275441,61.188474226106514,862.2259110966562,1.4772579719642027,3,31,Drought Stress,1,0.9975,1,0.9998,1,1,0.999,0,
46,36.76325559599655,29.870417680354976,6.4767718195912005,2.438759527251954,32.488388876896884,61.06638481228359,868.8513639677732,1.4735718448817516,3,31,Drought Stress,1,0.995,1,0.9999,1,1,0.9982,0,
47,35.898354164293345,30.864720552492596,6.440670954477725,2.4324494069903757,32.84711354195698,59.41826737429721,876.8653301437635,1.5565948897522406,3,31,Drought Stress,1,0.9975,1,0.9998,1,1,0.999,0,
48,35.057076342464825,29.763198685873796,6.514461053401326,2.4868713255286528,32.505687675844435,56.60378896262998,857.1007708409326,1.5359063023519022,3,32,Drought Stress,1,0.99,1,0.9999,1,1,0.9964,0,
49,33.970809508766685,29.090387029779965,6.491652154824099,2.5568972565051475,32.05132482773603,55.468651140700146,849.4632982309276,1.4903321582639402,3,32,Drought Stress,1,0.99,1,0.9999,1,1,0.9964,0,
50,33.15271285288764,28.74771277363613,6.4699436935343035,2.6062678694647294,31.154688744913912,55.093415742975274,854.0408056458924,1.6203340563208704,3,32,Drought Stress,1,0.99,1,0.9998,1,1,0.9964,0,
51,32.44423747678092,29.292814752407754,6.438540755498757,2.5288347837432914,30.62547424015222,58.392384173997705,868.5917378374335,1.7089333043398924,3,32,Drought Stress,1,0.994,1,0.9998,1,1,0.9978,0,
52,31.547346131537473,29.20630832339249,6.459825834328428,2.6936064508839705,31.983430271708077,58.046533320666995,861.5576303432127,1.6979214232990165,3,32,Drought Stress,1,0.99,1,0.9998,1,1,0.9964,0,
53,30.63634662894171,30.215527787101067,6.501087635324941,2.6441793464433396,32.900008573399184,54.944255321344734,828.8447265595881,1.5421250488066809,3,32,Drought Stress,1,0.995,1,0.9999,1,1,0.9982,0,
54,29.54646849265564,32.62953732055979,6.447033035393722,2.6886627671061554,34.167767904914115,53.70303563509617,824.9874897865849,1.559726660095634,3,32,Drought Stress,1,0.995,1,0.9998,1,1,0.9982,0,
55,28.527201805768456,31.84828582576864,6.4325765638854735,2.762235229159232,34.52095719772712,53.0211041380357,841.9189471222363,1.4917827615974097,3,32,Drought Stress,1,0.995,1,0.9998,1,1,0.9982,0,
56,27.57167114689603,31.81114327162298,6.416850814476197,2.733157225991535,35.88863342476876,50.873215994359725,835.8303988924961,1.6734352595753548,3,32,Drought Stress,1,0.995,1,0.9998,1,1,0.9982,0,
57,26.442175713213096,32.65400961906815,6.395292765990061,2.7770858865241346,36.40502035970405,49.02649749065297,827.6578157319909,1.7090379983066974,3,32,Drought Stress,1,0.995,1,0.9998,1,1,0.9982,0,
58,25.702490171361525,34.08874966167484,6.364402972117345,2.6760101514612025,37.55194083397416,46.90232927709502,817.5568447522514,1.729214440536819,3,32,Drought Stress,1,0.99,1,0.9998,1,1,0.9964,0,
59,24.872452901273988,34.53548695169379,6.3885152162499885,2.698954486166009,38.787956048175985,49.24731100417881,813.6392861193059,1.7813111431643822,3,32,Drought Stress,1,0.995,1,0.9998,1,1,0.9982,0,
