hour,soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage_encoded,days_since_transplant,scenario
30,48.37952303417231,28.966396112810852,6.425938980747407,2.204274404216154,30.42177285570771,62.81904652190606,871.1279184860846,1.2848631607560252,3,31,Drought Stress
31,47.73424741727822,29.8490345252635,6.4266860389013525,2.1541044604700175,31.37058330706196,62.757044373216985,874.7884170259136,1.3693486333198894,3,31,Drought Stress
32,46.82936317261031,31.370607733412037,6.4462870213680725,2.2070333318898383,32.43221541919981,58.96999095221674,865.9653777180706,1.2967840657911545,3,31,Drought Stress
33,46.164802768269524,33.53257612272985,6.400659974988863,2.241323814483523,33.633590952697766,58.44348939784643,872.4525886910889,1.2400558969875677,3,31,Drought Stress
34,45.32817543299946,33.310112993831076,6.316114295489592,2.180861008829294,34.38680762089659,58.75090453016614,861.3910760218562,1.3822643267378667,3,31,Drought Stress
35,44.73421808500094,32.901878301031495,6.362900705709004,2.1734217085504763,35.33073532729782,57.61630861725162,854.9156903298194,1.342650918949423,3,31,Drought Stress
36,44.023033718681084,33.71564336568988,6.384144709432935,2.213792389884297,36.38307452393448,55.86167955983856,838.9154380970266,1.2869759462400028,3,31,Drought Stress
37,43.41553702691767,36.33672573276749,6.4112464524793245,2.3075000549552045,38.09746199357735,54.631633835940285,856.9935426188378,1.33644580899166,3,31,Drought Stress
38,42.70839198830275,36.25059000456556,6.413521171254735,2.227257315115242,38.7344825473236,55.177286399831225,862.4065602858797,1.2911364100972809,3,31,Drought Stress
39,41.81634576768414,35.000554598742085,6.400160457170575,2.3148957946810387,37.707341466010995,59.17656749404271,866.2136087964423,1.392414150486864,3,31,Drought Stress
40,41.30144383116299,34.682946058648106,6.392320200498039,2.374757873588306,38.40033857655037,54.78195707667067,844.4347682341689,1.3693187738720685,3,31,Drought Stress
41,40.45428028463111,33.72943849272296,6.428249642041426,2.5272517800647734,38.34997238485699,54.52622928073296,841.2924044974634,1.4132091847549104,3,31,Drought Stress
42,39.62861994428127,32.433295738471486,6.396765629120234,2.3518776410514213,37.44398713902414,56.594848187835915,859.4917122270863,1.5420372829211628,3,31,Drought Stress
43,38.91974243763579,34.30135720387331,6.388646044174387,2.3613242850871736,36.300801109877554,57.645346894781994,879.0799309747518,1.6751499797327423,3,31,Drought Stress
44,38.330651115794055,32.82482117827921,6.3909401138419195,2.369908354264662,35.378752839409344,59.68108649303317,882.2142587305702,1.493824651671333,3,31,Drought Stress
45,37.50583168963698,31.003144116985467,6.4046007429204845,2.5091401975432115,34.18008710275441,61.188474226106514,862.2259110966562,1.4772579719642027,3,31,Drought Stress
46,36.76325559599655,29.870417680354976,6.4767718195912005,2.438759527251954,32.488388876896884,61.06638481228359,868.8513639677732,1.4735718448817516,3,31,Drought Stress
47,35.898354164293345,30.864720552492596,6.440670954477725,2.4324494069903757,32.84711354195698,59.41826737429721,876.8653301437635,1.5565948897522406,3,31,Drought Stress
48,35.057076342464825,29.763198685873796,6.514461053401326,2.4868713255286528,32.505687675844435,56.60378896262998,857.1007708409326,1.5359063023519022,3,32,Drought Stress
49,33.970809508766685,29.090387029779965,6.491652154824099,2.5568972565051475,32.05132482773603,55.468651140700146,849.4632982309276,1.4903321582639402,3,32,Drought Stress
50,33.15271285288764,28.74771277363613,6.4699436935343035,2.6062678694647294,31.154688744913912,55.093415742975274,854.0408056458924,1.6203340563208704,3,32,Drought Stress
51,32.44423747678092,29.292814752407754,6.438540755498757,2.5288347837432914,30.62547424015222,58.392384173997705,868.5917378374335,1.7089333043398924,3,32,Drought Stress
52,31.547346131537473,29.20630832339249,6.459825834328428,2.6936064508839705,31.983430271708077,58.046533320666995,861.5576303432127,1.6979214232990165,3,32,Drought Stress
53,30.63634662894171,30.215527787101067,6.501087635324941,2.6441793464433396,32.900008573399184,54.944255321344734,828.8447265595881,1.5421250488066809,3,32,Drought Stress
54,29.54646849265564,32.62953732055979,6.447033035393722,2.6886627671061554,34.167767904914115,53.70303563509617,824.9874897865849,1.559726660095634,3,32,Drought Stress
55,28.527201805768456,31.84828582576864,6.4325765638854735,2.762235229159232,34.52095719772712,53.0211041380357,841.9189471222363,1.4917827615974097,3,32,Drought Stress
56,27.57167114689603,31.81114327162298,6.416850814476197,2.733157225991535,35.88863342476876,50.873215994359725,835.8303988924961,1.6734352595753548,3,32,Drought Stress
57,26.442175713213096,32.65400961906815,6.395292765990061,2.7770858865241346,36.40502035970405,49.02649749065297,827.6578157319909,1.7090379983066974,3,32,Drought Stress
58,25.702490171361525,34.08874966167484,6.364402972117345,2.6760101514612025,37.55194083397416,46.90232927709502,817.5568447522514,1.729214440536819,3,32,Drought Stress
59,24.872452901273988,34.53548695169379,6.3885152162499885,2.698954486166009,38.787956048175985,49.24731100417881,813.6392861193059,1.7813111431643822,3,32,Drought Stress
60,24.077439292484815,35.79598222572649,6.417169370721439,2.6930412902547296,40.676542662710794,44.02188993604711,813.3246130016819,1.8120544648588401,3,32,Drought Stress
61,23.19391076295818,36.21896712205251,6.423770010613772,2.625176911731479,40.601622462870985,41.41262756666526,824.2774435935507,1.7074153862345323,3,32,Drought Stress
62,22.450413685091625,36.412545471680986,6.402027709975839,2.636912817062242,40.085333285250854,45.520411971574525,802.4767439583547,1.7550354579806942,3,32,Drought Stress
63,21.397141043069464,36.503699223157284,6.410248857910829,2.6270212168407996,40.51031957947481,45.380355616274144,786.2128504249486,1.7747846853191842,3,32,Drought Stress
64,20.46447444763428,37.008911006190026,6.441181904935645,2.7600239732034426,40.57578071910578,44.674651295300905,772.3186458575575,1.5959465780667828,3,32,Drought Stress
65,19.71109539180968,34.07711165247872,6.447213645024086,2.7431058018334555,38.72540310732916,47.35197206622016,792.451823705255,1.7169154817793861,3,32,Drought Stress
66,18.88143225399081,34.10916833650889,6.469533652882345,2.6850898236307246,38.28080203744682,46.273061922552344,801.5580179341405,1.7597628293452527,3,32,Drought Stress
67,18.0,33.22260933564056,6.447419199585976,2.738729833544287,37.86087032405162,46.21630532898311,794.726552971456,1.758564607249746,3,32,Drought Stress
68,18.0,32.91708079423847,6.46407618124276,2.774379888840846,36.20916688008439,44.814667863492254,822.7188736171477,1.8029508984294795,3,32,Drought Stress
69,18.0,32.236564003674935,6.47158039689846,3.008464598205225,34.98169190643197,43.87784464764559,843.1996352339464,1.7466270042433125,3,32,Drought Stress
70,18.0,33.09008645861,6.4361881869921165,3.1347161878835186,34.256436603600754,47.89324325428643,852.8135848504602,1.8341815646608262,3,32,Drought Stress
71,18.0,32.43569151461965,6.424338547048551,3.122484868087134,33.48549760990644,50.65720196546885,850.6434717376054,1.8051279711427397,3,32,Drought Stress
