hour,air_temperature,air_humidity,co2,soil_moisture,soil_temperature,cum_irr,scenario
22,26.74567783345736,67.83775856486078,807.9089103562258,52.6770949464665,26.013394524920926,0.0,Normal Operation
23,26.107291985606867,69.69181676204317,813.365047123432,52.782784428212636,26.076873558509345,0.0,Normal Operation
24,25.0,67.01451122247346,847.6767169715029,52.486425583591995,25.909731690074892,0.0,Normal Operation
25,25.0,69.25314902609541,850.3924833877228,52.10792723694306,24.446638150784533,0.0,Normal Operation
26,25.0,67.72413003759506,829.7880643931276,51.752287171796596,24.399466344367355,0.0,Normal Operation
27,25.061080884819145,67.3572977232542,835.9612437917585,51.66136911861441,25.011524380949062,0.0,Normal Operation
28,25.70368632120236,70.30571165888395,832.5155566445615,51.51396547471161,26.801577853135193,0.0,Normal Operation
29,25.054617656153788,70.42984714820443,825.4091346686732,51.38723908162887,26.908238867821392,0.0,Normal Operation
30,27.16370239368665,67.9751711819855,814.369618955249,51.24484835859437,27.17020099091083,0.0,Normal Operation
31,29.134409998457222,66.98048363894672,799.9486135919177,51.59599853887094,28.988123962461138,0.0,Normal Operation
32,29.835248820069037,66.11139353950105,792.2904236464249,51.17572154575486,28.917199503273064,0.0,Normal Operation
33,33.197883089512025,62.13438826538036,764.8588954587857,50.69006989613828,30.914519863441193,0.0,Normal Operation
34,33.512193873810844,62.65556164987486,751.2460788682995,50.11081613892581,30.840365981396506,0.0,Normal Operation
35,33.54389068962604,66.95401526097362,750.7927286978613,49.9601710588022,31.075915899076353,0.0,Normal Operation
36,33.48460738384024,67.82899562101179,764.7768076678932,49.96401667278007,32.115116116583685,0.0,Normal Operation
37,34.78250994721289,66.455445439927,771.976596971161,49.58200733601147,31.997949330616343,0.0,Normal Operation
38,35.75839323302317,65.06490798115856,797.4605213180026,48.972376460592486,33.12815135274843,0.0,Normal Operation
39,36.21436207340197,65.31529087495188,810.4588076154073,48.362888475151095,33.27919249561047,0.0,Normal Operation
40,35.492486578058,66.00948263247257,782.5642893401639,48.203141445717925,33.18832097862308,0.0,Normal Operation
41,34.069850502126556,64.29669152248,796.5800095331819,48.08541919205769,32.5715540164163,0.0,Normal Operation
42,33.78933101058543,65.0891261126663,816.6010116484259,59.2395113680242,31.98654506630793,1.330963670884647,Normal Operation
43,31.682476214567725,66.29811863114838,825.0900574361115,58.99233500279854,30.832153823859205,1.330963670884647,Normal Operation
44,29.386890564619513,71.07835979999244,807.0427245121247,58.73347183989457,29.867848819065202,1.330963670884647,Normal Operation
45,29.34951348219517,69.49245238502458,815.8107526479123,58.50558328409132,28.6883205247527,1.330963670884647,Normal Operation
46,28.067763829750717,72.20872412744208,818.2623072783186,58.48633427917827,28.588401714207645,1.330963670884647,Normal Operation
47,27.18225694278041,69.4081548264286,836.8643217643202,58.28159037438287,27.925105211170386,1.330963670884647,Normal Operation
48,26.61926645916737,70.1409739581069,861.3183276483323,58.219071778712774,28.288555491949342,1.330963670884647,Normal Operation
49,25.36215931843173,69.32584137335887,872.1696433602062,57.98572390637512,25.63393236997907,1.330963670884647,Normal Operation
50,25.0,67.92068202529944,856.4445643208651,57.822459725982114,25.362720748639717,1.330963670884647,Normal Operation
51,25.484395346709082,69.5613217131461,866.4033144502273,57.75700224026659,25.354506073280152,1.330963670884647,Normal Operation
52,25.523961707716115,67.5415956114437,860.5548405054561,57.064615877232725,25.020573367278274,1.330963670884647,Normal Operation
53,26.814153066178147,66.69519850243798,865.8179831408767,56.700572981663754,24.750616499254164,1.330963670884647,Normal Operation
54,27.971588996139037,64.78966323075365,849.1624612350374,56.27974529541453,25.78244258979297,1.330963670884647,Normal Operation
55,28.477853847847868,65.82854885825246,839.7825110954032,55.80330340246305,26.30497775412474,1.330963670884647,Normal Operation
56,31.040124982018657,64.62690643859516,826.1161273471837,55.41035947727486,27.54398029573105,1.330963670884647,Normal Operation
57,31.55960868639124,60.00096356838525,811.1229457524256,55.543245783781266,27.70707983897286,1.330963670884647,Normal Operation
58,33.43992981347052,61.02611861039155,820.8556670531867,54.949097150938584,29.91600222407493,1.330963670884647,Normal Operation
59,34.875755487983085,59.17372524075697,818.9306294983729,54.890823102436194,30.971040635470764,1.330963670884647,Normal Operation
60,36.92633000998385,62.198796272214025,811.0926369212875,54.01669887085161,33.179777048270545,1.330963670884647,Normal Operation
61,36.454513177296725,63.84589851192369,782.0400458985162,53.55168823008292,34.274058952967565,1.330963670884647,Normal Operation
62,36.313069649073405,65.05497254506972,770.9847071009027,53.237383453123684,33.81612525157154,1.330963670884647,Normal Operation
63,36.200741342810154,59.4002748722933,774.4640752850406,53.051242739103365,33.44305366952598,1.330963670884647,Normal Operation
64,35.89358511810721,63.48569881030589,787.5168834746535,52.90567486186015,31.98358852932518,1.330963670884647,Normal Operation
65,35.705031696664,63.16951373943911,770.2436030517244,52.78662871545348,30.626402084622896,1.330963670884647,Normal Operation
66,34.593720099685235,60.994910440243736,794.3814486626885,52.3360739927821,30.14207932133916,1.330963670884647,Normal Operation
67,33.017936820771794,63.197320997897805,790.0251583288565,51.867189086775014,28.985680264966856,1.330963670884647,Normal Operation
68,32.164984729334,66.50378357748284,788.6056581781041,51.80293200385882,29.235752698123424,1.330963670884647,Normal Operation
69,31.98452313624631,62.978775820021994,820.0133543913668,51.42569547503187,29.953864005798486,1.330963670884647,Normal Operation
70,28.827163408343225,67.93459619940643,823.5512196742661,50.754717943947064,27.716236570382513,1.330963670884647,Normal Operation
71,27.373170657389693,68.21494786881794,839.6748902735312,50.14100007317212,27.016218123382505,1.330963670884647,Normal Operation
